"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2023","24,819.0","24,302.8","24,966.6","23,868.6","392.70K","2.12%"
"Feb 19, 2023","24,302.9","24,631.3","25,175.2","24,273.7","312.64K","-1.33%"
"Feb 18, 2023","24,631.4","24,573.5","24,838.9","24,457.0","223.77K","0.24%"
"Feb 17, 2023","24,573.5","23,538.2","24,984.7","23,373.0","523.85K","4.39%"
"Feb 16, 2023","23,539.6","24,328.1","25,233.8","23,525.9","484.50K","-3.24%"
"Feb 15, 2023","24,327.9","22,198.5","24,330.9","22,050.8","401.53K","9.59%"
"Feb 14, 2023","22,198.5","21,776.9","22,308.6","21,556.2","378.39K","1.96%"
"Feb 13, 2023","21,772.6","21,782.7","21,887.5","21,418.7","312.04K","-0.07%"
"Feb 12, 2023","21,786.8","21,859.9","22,080.7","21,653.1","211.65K","-0.33%"
"Feb 11, 2023","21,859.8","21,627.4","21,902.9","21,605.3","182.07K","1.04%"
"Feb 10, 2023","21,635.0","21,792.5","21,933.6","21,491.7","352.79K","-0.72%"
"Feb 09, 2023","21,792.5","22,964.6","23,003.6","21,744.6","425.44K","-5.10%"
"Feb 08, 2023","22,964.6","23,251.7","23,425.1","22,691.7","289.12K","-1.23%"
"Feb 07, 2023","23,251.7","22,761.8","23,338.8","22,748.2","318.98K","2.15%"
"Feb 06, 2023","22,761.8","22,936.0","23,130.6","22,633.7","278.58K","-0.76%"
"Feb 05, 2023","22,936.0","23,326.9","23,423.4","22,766.5","217.26K","-1.66%"
"Feb 04, 2023","23,323.8","23,431.2","23,571.8","23,269.8","170.27K","-0.46%"
"Feb 03, 2023","23,431.2","23,429.1","23,694.1","23,233.8","349.36K","0.02%"
"Feb 02, 2023","23,427.6","23,726.2","24,207.2","23,398.1","382.86K","-1.26%"
"Feb 01, 2023","23,725.6","23,124.7","23,784.5","22,809.6","333.18K","2.60%"
"Jan 31, 2023","23,125.1","22,832.2","23,262.9","22,724.9","289.38K","1.28%"
"Jan 30, 2023","22,832.2","23,746.0","23,794.0","22,560.0","339.62K","-3.88%"
"Jan 29, 2023","23,753.1","23,023.5","23,952.9","22,973.3","320.86K","3.15%"
"Jan 28, 2023","23,027.9","23,074.6","23,182.3","22,889.8","156.96K","-0.20%"
"Jan 27, 2023","23,074.6","23,016.0","23,480.3","22,602.9","310.36K","0.25%"
"Jan 26, 2023","23,016.0","23,055.2","23,259.5","22,869.0","320.97K","-0.17%"
"Jan 25, 2023","23,055.1","22,632.5","23,779.0","22,366.3","388.18K","1.87%"
"Jan 24, 2023","22,632.5","22,916.3","23,156.1","22,517.1","334.17K","-1.23%"
"Jan 23, 2023","22,915.5","22,709.0","23,161.8","22,527.9","327.85K","0.91%"
"Jan 22, 2023","22,707.8","22,775.7","23,068.7","22,323.0","280.64K","-0.30%"
"Jan 21, 2023","22,775.7","22,677.5","23,304.5","22,461.1","382.69K","0.43%"
"Jan 20, 2023","22,677.2","21,074.9","22,718.5","20,879.3","373.74K","7.57%"
